"ID","Prefecture","Q1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q5","Q6","Q7","Q29","Q36","Q41","Q42_1","Q42_2","Q42_3","Q42_4","Q43_1","Q43_2","Q43_3","Q43_4","Q43_5","Q43_6","Q43_7","Q43_8","Q43_9","Q43_10","Q43_11","Q43_12","Q43_13","Q43_14","Q43_15","Q44_1","Q44_2","Q44_3","Q45_1_LDP","Q45_1_CDP","Q45_1_JRP","Q45_2_LDP","Q45_2_CDP","Q45_2_JRP","Q45_3_LDP","Q45_3_CDP","Q45_3_JRP","Q46_1","Q46_2","Q46_3","Q47","Q48","Q49_1","Q49_2","Q50","Q51","Q52","Q53","Q54"
1,"01",2,1,1,0,0,1,1,0,7,7,4,2,1,7,0,5,0,0,3,5,2,3,3,3,1,3,3,3,5,3,2,2,2,4,3,3,1,3,1,4,3,4,4,3,4,1,1,1,2,7,1,2,2,5,1,3,4
2,"01",99,1,1,0,0,0,0,0,3,3,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,6,5,66,2,5,1,3,3
3,"01",2,1,0,0,0,1,0,0,1,1,3,1,1,4,5,1,3,5,1,1,1,3,1,1,1,1,1,1,5,1,3,1,1,1,5,1,1,3,1,1,3,1,1,1,1,1,5,1,1,11,3,66,99,2,3,3,4
4,"01",1,0,1,0,0,0,0,0,1,12,2,2,2,1,10,7,8,9,5,5,1,3,3,3,2,5,5,5,5,1,5,3,2,3,3,5,4,4,4,1,1,1,3,3,4,4,3,2,1,7,6,66,1,5,1,2,6
5,"01",2,1,1,0,0,1,0,0,2,2,3,2,2,2,99,99,99,99,5,4,1,5,2,3,4,4,2,5,4,4,4,5,4,4,2,4,1,4,2,1,4,2,5,2,4,2,4,1,1,13,6,66,2,2,1,2,5
6,"01",2,0,1,0,0,1,1,0,1,12,2,2,2,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99,3,3,3,3,3,3,3,3,3,3,3,3,1,2,6,66,1,5,2,3,1
7,"01",2,1,1,0,0,1,0,0,4,4,2,2,2,4,5,2,2,5,2,5,1,3,4,2,3,3,3,2,3,4,1,2,2,4,2,2,2,1,1,2,3,3,3,3,3,3,5,3,2,7,5,66,2,1,1,4,4
8,"01",2,1,1,0,0,0,0,0,2,12,3,1,1,12,5,5,3,3,1,2,1,1,4,4,3,4,3,3,3,5,3,1,3,3,2,1,2,3,3,3,3,3,3,3,3,1,2,2,2,10,5,66,2,2,1,3,4
9,"01",1,0,1,0,0,0,0,0,1,1,2,1,2,1,8,1,1,6,1,1,1,1,5,3,3,2,1,2,4,2,4,3,4,4,5,1,1,4,4,3,3,3,4,3,3,2,2,1,1,9,1,2,2,2,1,2,4
10,"01",99,0,1,0,0,0,0,0,99,2,2,99,99,99,99,99,99,99,2,3,3,3,4,2,2,2,2,3,2,2,3,3,2,2,3,4,99,2,99,99,99,99,99,3,99,2,2,2,2,13,6,66,2,1,4,2,99
11,"01",1,0,1,0,0,1,0,0,1,1,2,99,99,1,10,0,0,7,2,2,3,3,5,4,1,5,1,1,5,3,3,2,3,1,3,1,1,99,99,1,99,99,1,99,99,1,1,1,2,9,1,2,3,6,4,1,5
12,"01",1,1,1,0,0,1,0,0,2,2,3,1,2,1,5,5,4,5,2,3,3,3,4,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,9,5,66,2,2,2,2,4
13,"01",2,0,1,0,0,1,0,0,1,1,2,2,1,1,6,3,3,3,1,2,1,3,4,2,3,2,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,4,3,3,2,2,1,2,7,5,66,2,4,2,3,4
14,"01",2,0,1,0,0,1,0,0,11,12,3,2,99,12,5,5,5,2,2,3,2,2,3,2,3,3,2,2,3,3,3,2,3,2,2,3,1,2,2,2,3,3,3,3,3,3,3,2,2,9,1,3,2,3,2,2,4
15,"01",2,0,0,0,0,1,1,0,7,12,3,1,2,12,99,99,99,99,2,3,2,3,1,1,1,5,5,1,4,2,3,1,3,3,5,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,2,1,2,4,1,6
16,"01",2,1,0,0,0,0,0,0,5,5,3,2,2,5,0,0,0,0,5,5,1,5,5,3,3,5,1,3,5,3,1,1,3,3,1,3,1,2,1,1,2,1,1,1,1,3,3,3,2,9,6,66,2,3,2,2,6
17,"01",1,0,1,1,0,1,0,0,1,1,2,1,1,1,6,4,2,7,2,2,1,4,4,2,1,4,4,2,4,1,4,3,5,2,4,4,99,99,99,99,99,99,99,99,99,2,1,2,1,5,1,99,2,5,1,3,4
18,"01",1,0,1,0,0,1,0,0,7,1,2,2,2,1,8,7,10,9,4,5,1,5,5,3,2,4,5,3,4,5,1,1,1,5,1,5,2,3,4,3,3,3,4,2,3,4,2,1,2,7,1,2,2,3,1,4,2
19,"01",1,1,1,0,0,1,0,0,1,1,3,1,1,1,8,6,2,2,2,2,2,1,5,2,2,3,1,1,2,1,1,1,3,4,5,2,99,99,99,99,99,99,99,99,99,1,1,1,1,10,2,2,2,3,1,3,6
20,"01",1,0,1,0,0,1,0,0,1,1,2,1,1,1,10,0,10,7,1,1,2,1,3,2,2,2,2,2,2,2,4,2,2,4,4,1,3,4,2,3,3,3,3,3,3,3,4,1,1,9,1,2,2,4,1,3,4
21,"01",2,1,1,0,0,0,0,0,2,2,3,1,2,2,3,6,2,2,3,3,2,2,2,2,2,3,2,4,3,2,2,2,3,2,4,3,1,4,2,3,1,2,3,1,2,2,2,1,1,11,6,66,3,4,1,2,4
22,"01",2,0,0,0,0,1,0,0,2,12,2,2,2,12,8,6,4,10,3,4,2,3,2,3,2,4,3,3,4,3,4,3,4,4,2,3,3,3,4,2,2,4,4,4,4,3,2,4,1,9,6,66,1,5,1,3,4
23,"01",1,1,1,1,0,0,0,0,4,4,2,2,1,4,5,3,2,5,2,4,99,3,5,99,99,5,2,99,3,5,2,1,1,1,1,3,99,99,99,99,99,99,99,99,99,1,5,1,2,12,2,99,2,2,4,2,4
24,"01",2,1,1,0,0,0,0,0,5,12,4,2,1,1,0,0,10,0,3,3,3,2,1,1,1,4,3,4,4,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,7,6,66,2,1,1,5,2
25,"01",2,0,0,0,0,1,0,0,99,12,4,1,1,12,99,99,99,99,1,1,1,2,5,3,3,3,2,2,2,1,1,1,2,4,5,1,1,2,3,1,1,2,3,3,3,1,1,1,2,7,2,2,1,2,1,1,7
26,"01",1,0,1,1,0,1,0,0,1,1,3,1,99,1,8,5,6,8,2,4,1,2,5,1,3,4,2,3,4,3,2,2,2,2,4,2,1,3,2,2,3,2,3,2,3,1,5,1,2,5,1,2,1,3,4,1,4
27,"01",2,1,1,0,0,0,0,0,2,2,3,2,2,2,0,10,10,0,5,5,1,5,4,1,1,1,1,5,5,1,2,3,1,1,1,5,1,5,4,2,1,1,5,1,1,1,1,1,1,14,6,66,3,2,99,99,5
28,"01",2,0,0,0,0,1,0,0,2,2,3,1,1,1,4,6,0,0,1,1,5,1,1,1,1,5,1,1,5,1,1,1,5,5,5,1,1,1,99,5,5,5,5,5,5,1,5,1,2,10,5,66,2,2,2,3,6
29,"01",1,1,1,0,0,0,0,0,2,6,2,2,2,4,5,10,6,7,3,1,3,3,4,1,1,5,2,3,5,1,1,2,2,1,5,1,2,2,2,1,1,1,3,3,3,1,1,2,2,12,6,66,2,2,1,2,5
30,"01",2,1,1,0,0,1,0,0,2,2,3,2,2,2,0,7,5,2,2,4,1,3,4,2,2,3,2,3,4,4,1,1,1,4,4,4,1,3,3,2,2,3,5,3,3,2,4,1,2,10,3,66,2,2,1,4,4
31,"01",1,1,1,0,0,0,0,0,4,4,2,2,1,4,5,1,1,5,5,5,5,5,5,3,3,3,3,3,5,5,1,1,3,3,1,3,1,1,1,3,3,3,5,5,5,3,5,3,2,8,1,2,2,2,1,2,3
32,"01",99,1,1,0,1,1,1,0,99,99,3,1,99,12,99,99,99,99,3,3,1,4,4,1,3,4,2,3,4,2,2,2,2,3,2,2,99,99,99,99,99,99,99,99,99,1,2,1,2,7,1,3,2,99,99,99,99
33,"01",99,0,1,0,0,1,1,0,1,1,99,1,1,1,5,5,5,5,3,3,2,3,5,3,3,3,3,3,3,3,1,3,3,5,4,3,3,3,3,3,3,3,3,3,3,1,1,1,2,6,1,99,2,2,1,4,4
34,"01",2,1,1,0,0,0,0,0,99,99,3,1,1,12,99,99,99,99,2,1,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,13,5,66,2,2,1,2,4
35,"01",2,0,0,0,0,1,0,0,10,10,4,1,1,12,0,0,0,0,2,4,3,2,4,2,2,3,3,5,4,4,5,5,3,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,10,3,66,2,2,1,2,6
36,"01",2,0,0,0,0,1,1,0,5,12,2,2,1,5,6,6,6,5,1,3,2,2,4,3,3,5,3,3,4,4,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,5,66,2,99,4,3,3
37,"01",99,1,1,0,0,1,0,0,1,3,2,1,1,1,7,2,3,4,2,3,3,2,4,2,2,3,2,3,3,3,3,4,3,3,4,2,1,3,2,1,2,2,2,1,1,2,2,2,1,10,1,3,2,4,1,2,4
38,"01",1,1,1,0,0,0,0,0,1,1,2,2,2,2,5,5,2,3,3,2,3,3,4,4,3,4,4,3,4,2,2,2,3,2,4,1,1,3,3,1,2,2,3,3,3,3,2,1,1,9,3,66,2,3,1,2,4
39,"01",1,1,1,0,0,1,0,0,4,4,2,99,1,4,5,1,3,5,1,4,1,3,3,1,3,4,3,3,2,3,4,3,3,3,3,4,1,2,2,1,2,2,2,2,2,3,3,3,1,8,1,1,2,2,4,3,4
40,"01",2,0,0,0,0,1,1,1,10,10,4,1,1,10,5,0,0,1,1,2,5,1,4,2,2,5,3,3,4,5,5,4,3,4,1,2,4,4,3,4,4,3,4,4,4,3,4,1,1,10,1,99,2,2,1,2,4
41,"01",1,1,1,0,0,0,0,0,1,1,3,1,1,12,99,99,99,99,2,3,3,4,3,2,3,4,1,4,3,3,2,4,2,3,4,2,3,3,3,3,3,3,3,3,3,1,1,1,2,8,1,1,2,3,1,3,4
42,"01",1,0,0,0,0,1,1,0,1,1,2,1,1,1,9,6,7,8,1,4,5,2,3,1,1,4,1,1,2,2,5,2,5,5,1,2,2,4,2,2,1,1,3,1,2,2,2,1,1,5,6,66,1,5,1,3,6
43,"01",2,0,0,0,0,0,1,0,7,7,4,2,2,7,0,0,0,99,5,3,1,5,3,1,1,5,2,3,5,5,3,2,3,5,4,3,1,1,1,5,5,5,3,3,3,1,5,1,1,8,1,2,2,2,1,3,6
44,"01",1,1,1,0,0,1,0,0,1,1,2,1,99,1,99,99,99,99,2,4,3,4,3,4,3,2,1,1,1,3,3,1,2,3,5,5,2,2,2,3,3,3,4,4,4,3,3,5,2,9,1,2,2,2,1,4,5
45,"01",1,1,1,0,0,0,0,0,1,1,2,1,1,1,9,8,8,8,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,2,15,6,66,3,2,1,3,4
46,"01",2,1,1,1,0,1,0,0,2,2,2,1,1,2,4,9,1,1,2,1,1,1,5,2,1,5,1,3,5,5,3,1,1,4,1,1,1,5,2,1,5,3,1,5,4,2,4,1,1,11,2,3,2,2,1,3,6
47,"01",2,1,1,1,0,1,0,0,11,2,2,1,1,12,5,3,3,4,1,2,1,2,3,3,2,5,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,11,6,66,2,5,1,2,4
48,"01",1,1,1,0,0,1,0,0,1,1,2,1,1,1,10,0,5,5,1,3,3,1,3,2,3,2,2,3,2,3,5,5,5,1,5,1,1,3,2,3,3,3,4,3,3,3,3,1,1,12,3,66,2,3,1,1,3
49,"01",1,1,1,0,0,1,0,0,1,1,2,1,2,1,7,3,5,5,1,3,1,1,5,3,1,3,3,3,3,2,3,2,5,2,2,4,1,4,1,1,1,1,4,2,2,2,4,1,1,11,3,66,2,5,1,2,3
50,"01",2,0,1,1,0,1,0,0,9,9,3,1,1,12,5,5,5,0,1,1,2,3,3,3,2,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,7,1,2,3,2,1,3,4
51,"01",1,1,1,0,0,0,0,0,1,1,2,2,2,99,8,6,6,7,1,2,2,3,3,2,2,4,3,3,3,2,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,10,1,3,2,4,1,2,4
52,"01",1,1,1,0,0,1,0,0,4,4,2,2,2,4,7,3,2,5,3,2,1,3,4,2,3,5,1,2,4,2,1,3,4,2,5,2,1,4,2,2,2,1,3,1,2,2,3,2,2,6,2,3,1,4,1,2,5
53,"01",1,1,1,0,1,1,0,0,4,4,2,2,1,4,6,3,4,7,2,3,1,3,3,1,1,4,2,1,3,3,2,1,1,2,1,4,1,2,3,2,3,3,1,2,3,2,5,1,2,13,6,66,3,2,1,1,4
54,"01",99,0,1,0,0,1,0,0,1,1,3,1,1,1,4,1,1,5,1,2,1,2,3,2,2,5,4,2,2,4,5,4,4,1,4,3,1,1,4,2,2,2,2,2,2,2,2,1,1,4,1,2,1,3,4,1,4
55,"01",1,1,1,0,0,1,1,0,4,4,1,99,1,4,5,0,0,2,2,5,3,99,4,2,1,1,1,1,1,1,5,5,5,2,1,4,1,4,2,1,5,2,4,1,4,1,1,1,2,10,5,66,2,4,1,2,3
56,"01",1,0,1,0,0,1,1,0,1,1,1,1,1,1,10,0,2,10,1,1,1,1,5,2,2,5,1,2,3,3,5,5,5,2,5,1,1,5,2,3,3,3,4,1,3,5,5,3,2,8,1,3,2,3,1,2,4
57,"01",2,1,0,0,0,0,0,0,1,12,2,2,1,1,99,99,99,99,3,3,2,4,4,1,2,4,2,3,4,5,1,1,1,2,3,2,1,2,2,1,5,5,5,1,1,1,1,1,2,15,6,66,3,2,1,2,4
58,"01",2,0,0,0,0,1,0,0,1,1,2,1,1,1,10,0,7,2,1,1,5,1,1,1,1,5,4,1,1,1,5,5,5,1,5,1,1,5,2,5,5,3,5,1,5,5,5,5,1,11,3,66,2,5,2,2,4
59,"01",2,0,1,0,0,1,1,0,2,2,3,2,2,99,0,6,0,0,5,3,1,3,5,4,4,5,1,3,4,5,1,1,1,5,1,2,1,4,2,4,3,3,5,2,4,1,2,1,2,7,1,3,1,6,4,1,6
60,"01",2,1,1,0,0,1,0,0,5,5,3,2,1,2,2,6,4,3,2,4,1,5,5,5,1,3,2,3,4,2,1,1,1,2,4,4,1,4,5,1,4,5,2,1,1,1,2,2,1,10,1,2,1,5,4,1,5
61,"01",2,1,1,0,0,0,0,0,2,2,2,1,2,2,3,4,3,3,3,3,2,3,3,2,3,4,2,3,3,3,3,3,4,3,3,2,2,3,3,2,3,3,2,3,2,2,2,3,2,13,6,66,2,2,2,3,4
62,"01",2,0,1,0,0,1,0,0,2,2,4,1,1,2,3,6,4,5,1,3,1,2,5,4,3,1,5,4,2,2,1,1,5,2,5,1,1,3,2,1,2,2,4,3,3,1,5,1,1,6,1,2,2,3,1,2,4
63,"01",1,0,1,0,0,0,0,0,1,1,2,1,1,1,7,0,0,7,2,3,1,3,5,2,1,3,2,1,3,1,3,3,5,3,1,1,2,3,3,1,2,2,3,3,3,2,4,1,2,11,1,1,2,2,1,2,4
64,"01",2,1,1,0,0,1,1,0,1,12,3,1,2,12,5,5,5,5,3,4,1,2,4,3,3,4,2,2,5,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,6,66,1,2,1,3,3
65,"01",1,1,1,0,0,0,0,0,2,2,2,2,1,2,4,8,2,5,4,4,5,3,4,1,2,5,1,1,2,4,3,4,2,4,3,3,1,4,2,1,4,2,1,3,2,2,1,1,1,15,6,66,2,1,1,2,4
66,"01",2,1,1,0,0,1,0,0,5,5,4,2,2,5,0,5,0,0,5,1,1,5,5,3,3,3,1,3,5,5,1,1,1,4,2,2,1,4,1,1,3,1,5,3,5,1,5,5,1,15,6,66,2,1,1,3,4
67,"01",2,0,1,0,0,1,0,0,1,1,3,1,1,3,8,0,6,3,1,3,3,1,4,99,1,3,1,3,2,3,3,2,1,2,4,1,2,3,2,2,1,2,2,2,2,1,1,1,1,11,6,66,3,5,4,1,5
68,"01",2,0,1,1,0,1,1,0,3,12,3,1,1,3,5,5,7,5,1,1,2,1,3,2,4,5,2,3,2,1,1,3,3,5,4,4,2,3,1,1,3,3,4,3,1,1,1,1,2,1,1,2,1,2,1,3,3
69,"01",2,1,0,0,0,1,0,0,2,2,4,2,2,2,0,7,0,0,4,4,1,5,5,2,2,4,1,3,5,5,2,2,3,4,4,3,1,5,1,3,3,3,5,2,3,2,4,2,1,5,1,2,1,2,4,1,5
70,"01",1,0,1,0,0,1,0,0,99,12,3,99,1,12,99,99,99,99,2,3,2,3,4,2,1,4,3,2,4,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,6,1,3,1,3,1,4,5
71,"01",2,0,0,0,0,1,1,0,99,99,3,99,99,12,99,99,99,99,3,3,3,99,99,99,99,4,99,99,2,99,1,1,1,3,3,3,99,99,99,99,99,99,99,99,99,99,99,99,2,5,1,3,2,4,1,5,4
72,"01",1,1,1,0,0,1,0,0,1,1,2,1,1,1,7,2,2,8,1,5,1,3,5,1,1,5,1,1,5,1,3,5,3,4,5,3,1,3,3,1,2,2,3,3,3,3,4,1,1,8,2,99,3,2,1,1,5
73,"01",2,0,1,0,0,0,0,0,1,1,3,1,1,12,8,5,5,5,2,2,3,3,2,3,3,4,2,3,2,3,3,3,2,5,4,2,2,3,3,2,3,2,3,3,3,2,3,2,2,9,2,3,2,2,3,4,4
74,"01",2,1,1,0,0,0,0,0,1,1,2,2,1,1,6,1,2,3,1,3,1,2,2,2,3,4,2,2,3,3,2,2,2,2,4,2,2,99,99,2,99,99,3,99,99,1,2,1,99,14,6,66,99,2,1,2,4
75,"01",1,1,1,0,0,0,0,0,1,1,2,1,99,1,8,3,5,5,1,1,3,1,4,2,4,4,1,2,2,2,4,2,3,4,5,1,1,5,2,2,1,2,5,1,4,2,2,2,2,11,6,66,2,2,1,2,4
76,"01",2,1,1,0,0,1,0,0,1,1,3,1,1,1,6,1,4,3,1,2,2,1,3,2,3,2,2,3,2,3,4,2,3,4,4,2,2,4,2,2,4,3,4,2,3,2,2,2,1,7,1,1,2,2,3,4,4
77,"01",1,1,1,1,0,0,0,0,1,1,2,2,2,1,8,4,3,8,5,5,1,5,5,3,2,3,3,3,3,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,15,6,66,3,2,1,1,4
78,"01",2,0,1,0,0,0,0,0,4,4,3,1,1,4,5,5,5,2,2,3,3,2,4,1,3,5,2,3,5,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,2,1,10,2,2,2,2,1,2,5
79,"01",2,1,1,0,0,1,0,0,2,12,3,1,2,12,3,4,4,2,3,4,1,3,4,2,2,4,1,3,2,4,3,3,4,4,4,2,1,3,3,1,3,3,2,2,2,3,2,2,1,11,1,2,2,5,1,2,3
80,"01",1,1,1,1,0,0,0,0,1,1,3,1,99,1,10,0,0,7,2,2,1,4,3,1,2,2,1,3,3,4,5,3,4,3,5,4,1,4,3,2,3,3,3,3,3,2,1,1,1,9,1,2,2,3,1,2,4
81,"01",1,1,1,0,0,0,0,0,3,3,2,1,1,3,1,1,5,1,1,1,1,3,1,1,5,5,99,1,1,1,1,1,1,3,5,5,99,99,1,99,99,99,99,99,1,5,4,1,1,11,4,66,3,2,1,2,5
82,"01",1,0,1,0,0,0,0,0,1,4,2,2,2,1,8,7,7,7,4,3,1,4,3,2,2,4,1,2,3,4,2,3,2,4,2,3,3,2,3,2,3,3,2,3,3,3,4,2,99,99,99,66,99,99,99,99,99
83,"01",99,1,1,0,0,0,0,0,99,12,3,1,99,12,99,99,99,99,3,4,1,2,4,2,3,3,5,3,3,4,1,1,3,3,4,3,99,99,99,99,99,99,99,99,99,3,1,3,2,15,6,66,3,1,1,4,4
84,"01",2,1,1,1,0,0,0,0,5,12,4,2,2,12,3,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,4,2,4,3,3,2,4,4,4,3,3,3,2,2,2,2,2,2,2,10,2,3,1,2,4,1,99
85,"01",1,1,1,0,0,0,0,0,3,3,2,1,1,3,7,4,6,5,2,3,2,3,3,1,3,5,2,3,4,5,5,1,1,1,3,5,1,4,2,2,3,2,3,4,1,1,1,1,1,13,6,66,2,1,1,2,7
86,"01",2,1,1,0,0,1,1,0,1,1,3,99,99,1,6,2,2,5,2,3,2,3,4,2,3,4,3,3,3,4,3,2,3,3,4,2,1,1,2,2,2,1,3,1,1,4,3,3,1,4,2,2,2,2,1,3,5
87,"01",99,1,1,0,0,1,0,0,1,1,3,99,99,1,5,3,3,3,2,3,3,3,5,2,3,4,1,2,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,8,2,2,2,2,1,4,4
88,"01",99,0,1,0,0,0,0,0,1,1,2,99,1,99,8,5,5,6,1,1,3,3,3,3,3,3,2,3,1,3,2,2,2,3,3,3,2,2,2,3,3,3,1,1,1,1,3,1,2,6,5,66,2,3,1,4,4
89,"02",2,1,1,1,0,0,0,0,5,5,3,1,2,5,3,5,4,0,2,4,1,3,4,1,4,1,1,4,3,4,3,2,2,4,2,4,1,3,2,1,3,3,2,2,2,1,2,2,2,15,6,66,3,1,1,1,4
90,"02",1,0,1,0,0,1,0,0,2,2,4,2,1,12,3,5,3,4,1,4,2,3,3,1,2,5,3,3,4,1,1,1,1,5,5,3,2,2,2,2,2,2,2,2,2,3,2,1,2,4,1,99,2,4,1,4,4
91,"02",1,1,1,0,0,0,0,0,1,1,2,1,2,1,8,5,5,8,2,3,1,2,4,99,2,3,2,2,2,4,2,3,2,1,1,3,99,99,99,99,99,99,99,99,99,2,3,1,2,12,6,66,2,3,1,3,7
92,"02",1,1,1,0,0,0,0,0,1,1,2,2,2,1,8,5,5,8,5,5,1,3,5,1,2,5,2,2,5,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,1,14,6,66,3,2,1,1,4
93,"02",1,1,1,1,0,0,0,0,1,1,2,1,1,1,99,99,99,99,1,1,1,1,3,3,2,4,1,2,2,3,1,1,3,2,3,1,1,3,3,2,3,4,1,2,2,1,1,1,1,9,4,66,1,2,1,2,6
94,"02",1,1,1,0,1,1,0,0,1,1,1,1,1,1,7,5,5,5,1,2,1,4,4,1,2,4,1,1,3,1,2,3,2,2,3,3,1,3,3,2,2,2,3,3,3,2,1,1,1,5,2,3,1,2,1,5,4
95,"02",1,1,1,0,0,0,0,0,1,1,2,2,1,1,8,5,4,6,2,3,3,4,2,1,2,5,5,3,4,2,5,3,3,3,1,1,3,99,99,99,99,99,99,99,2,1,1,1,2,13,6,66,99,1,1,2,5
96,"02",1,0,1,0,0,0,0,0,1,1,2,1,2,1,8,4,2,8,3,3,3,3,4,2,2,2,2,2,3,2,3,2,2,4,5,2,2,4,3,2,3,3,4,3,3,3,2,3,2,7,1,2,1,2,1,3,3
97,"02",2,1,1,1,0,1,1,0,3,3,3,1,1,12,99,99,99,99,1,5,1,5,1,5,1,1,1,5,5,5,1,1,5,1,1,1,99,99,99,99,99,99,99,99,99,5,5,1,2,4,5,66,2,5,4,3,3
98,"02",2,0,1,1,0,1,0,0,5,12,3,99,99,99,99,99,99,99,2,4,3,3,4,2,1,5,2,3,3,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,4,1,3,2,3,1,99,6
99,"02",2,1,1,0,0,1,0,0,1,1,2,1,1,1,6,3,2,2,2,2,1,1,4,2,2,2,2,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,11,1,2,2,2,1,3,5
100,"02",2,1,1,1,0,0,0,0,1,12,3,2,2,1,6,0,0,4,3,1,1,3,1,1,3,1,1,3,3,4,2,1,3,3,3,4,2,3,3,3,3,3,3,3,3,2,3,1,2,15,6,66,3,1,1,3,5
101,"02",2,1,1,0,0,1,0,0,2,1,4,2,2,12,3,4,1,1,4,5,1,4,4,1,1,5,5,1,5,5,3,3,4,3,1,5,1,2,3,4,3,2,4,3,3,1,1,1,2,8,2,2,2,2,1,3,5
102,"02",1,1,1,0,0,0,0,0,4,4,2,1,2,4,6,3,3,6,3,4,1,3,5,2,2,3,3,2,3,1,2,1,1,2,4,4,1,2,1,2,2,2,3,2,2,4,5,2,1,10,2,99,2,2,1,3,4
103,"02",1,1,1,0,0,0,0,0,1,1,2,2,2,1,8,5,3,8,3,3,1,5,5,3,3,3,1,3,5,5,5,3,5,3,3,3,2,4,1,4,2,2,4,2,2,5,5,5,2,15,5,66,3,2,1,2,4
104,"02",2,1,1,1,0,0,0,0,1,1,3,1,2,1,8,4,3,6,3,3,3,3,4,3,2,4,1,3,4,1,3,2,3,3,4,3,2,2,2,2,3,4,2,2,2,1,1,1,2,10,2,3,2,2,1,6,5
105,"02",2,1,1,0,0,0,0,0,3,12,3,2,2,2,0,10,5,5,3,1,1,3,1,3,3,5,1,1,5,3,5,1,3,1,1,1,1,3,3,1,3,3,1,1,1,3,3,3,2,12,6,66,3,2,1,3,7
106,"02",1,0,1,0,0,0,0,0,1,1,4,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,13,6,66,99,1,1,5,4
107,"02",2,1,1,1,1,0,0,0,5,5,2,2,2,12,2,7,1,2,5,5,1,5,5,5,5,5,1,5,5,5,1,1,1,5,1,5,1,5,1,1,5,2,5,1,2,4,4,4,2,13,6,66,99,5,1,99,6
108,"02",2,1,1,0,0,0,0,0,99,12,3,2,2,12,1,1,1,0,5,3,1,5,1,1,3,5,1,3,5,1,3,1,1,4,3,4,3,3,3,3,3,3,1,1,1,2,2,1,1,12,6,66,2,1,4,5,7
109,"02",1,1,1,1,1,1,0,1,1,1,2,1,99,1,5,3,3,7,1,1,1,1,5,1,1,5,1,1,5,5,5,1,5,1,5,1,1,3,3,1,3,3,1,3,3,1,1,1,1,10,6,66,1,2,1,1,7
110,"02",2,1,1,0,0,1,0,0,11,12,3,1,1,12,3,99,99,1,3,4,1,4,5,4,4,2,3,3,3,2,1,1,2,4,2,3,3,3,2,3,3,2,3,3,1,1,3,2,2,6,4,66,2,1,1,6,4
111,"02",2,1,1,0,0,0,0,0,11,1,2,2,2,12,4,3,3,3,3,4,1,3,1,1,3,5,1,2,3,3,5,3,1,4,3,4,1,3,3,99,3,3,3,3,3,1,1,1,2,11,99,66,2,2,1,2,5
112,"02",2,1,1,1,0,0,0,0,99,12,3,99,1,12,0,2,1,0,3,2,1,3,2,2,2,3,1,2,2,3,4,4,3,2,5,3,4,4,4,2,2,2,4,4,4,2,2,2,2,8,2,2,2,2,1,6,5
113,"03",2,1,1,0,0,1,0,0,4,4,2,2,2,99,5,5,5,2,3,4,3,3,3,2,3,4,1,4,5,2,5,3,3,3,2,3,1,2,1,99,99,99,99,99,99,1,3,1,2,13,6,66,2,4,2,2,4
114,"03",2,0,1,1,0,1,0,0,99,12,3,1,1,12,2,3,3,0,1,1,1,1,4,2,2,3,1,3,2,2,2,1,2,2,2,1,2,3,3,2,3,3,4,3,3,2,2,1,1,8,1,2,2,3,2,2,6
